Elementary schools,School Address
Barack Obama Elementary School ,"Barack Obama Elementary School , Richmond City,VA"
Bellevue Elementary School,"Bellevue Elementary School, Richmond City,VA"
Blackwell Elementary School,"Blackwell Elementary School , Richmond City,VA"
Broad Rock Elementary School,"Broad Rock Elementary School , Richmond City,VA"
Fairfield Court Elementary School,"Fairfield Court Elementary School , Richmond City,VA"
John B. Cary Elementary School,"John B. Cary Elementary School , Richmond City,VA"
J. L. Francis Elementary School,"J. L. Francis Elementary School , Richmond City,VA"
Linwood Holton Elementary School,"Linwood Holton Elementary School , Richmond City,VA"
Mary Munford Elementary School,"Mary Munford Elementary School , Richmond City,VA"
G. H. Reid Elementary School,"G. H. Reid Elementary School , Richmond City,VA"
Summer Hill Elementary School,"Summer Hill Elementary School , Richmond City,VA"
Swansboro Elementary School,"Swansboro Elementary School, Richmond City,VA"
Westover Hills Elementary School,"Westover Hills Elementary School, Richmond City,VA"
William Fox Elementary School,"William Fox Elementary School, Richmond City,VA"
